id,category_id,category_name,block_number,block_code,block_text,version,uuid
1,1,Hopes,1,1_1,Success,1,ac841676-01ad-4c33-b067-f1ba5986942b
2,1,Hopes,2,1_2,Future,1,567dc605-3515-445b-9a21-bb18db5d8094
3,2,Home Life,1,2_1,Dinner Table,1,4b2bae2a-da65-49fa-98c9-3c4543f82128
4,2,Home Life,2,2_2,Chores,1,f3e170a0-6292-44e7-8e22-984e736ae7c3
5,2,Home Life,3,2_3,Allowance,1,c9620814-e3d8-4067-a952-60e05667020e
6,3,Communication,1,3_1,Conversation,1,ad021302-66f2-4c2e-b8ed-8d8648adf680
7,3,Communication,2,3_2,Conflict,1,7b91e32b-3185-4090-b77d-a168f464717e
8,3,Communication,3,3_3,Support,1,96f426b4-f10e-4111-b6e5-a5560e05514a
9,3,Communication,4,3_4,Trust,1,3d928ea4-ce89-41ff-b41d-e3f08b52ed5c
10,4,Mental Health,1,4_1,Talking About Mental Health,1,fabc58eb-c8d4-40df-b33a-bf4f67df7303
11,5,Love,1,5_1,Love Advice,1,d3d6883b-8ebc-4c63-b44b-694c66279e55
12,6,Friends,1,6_1,Friend Circle,1,9b08ccfe-4d32-4602-bdfe-b5600b7a7dbd
13,7,Online_Life,1,7_1,Screens in the House,1,eccde825-665d-42f5-a61a-628e6091b258
14,8,Parenting,1,8_1,Feelings and Expectations,1,ff278bdf-20b6-412d-b6ce-ab72c99313b9
15,8,Parenting,2,8_2,Preparedness and Learning Curve,1,f08f896d-b052-4915-a04b-a162a8a54797
16,8,Parenting,3,8_3,Support and Resources,1,c78369e0-81cb-4d76-91bc-5911e4452b29
17,8,Parenting,4,8_4,Challenges and Disappointments,1,a78369e0-81cb-4c76-91bc-6911e4452b30
