id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
1,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,A,1_1_A,A. Self-realization and interest development,,,,,1
2,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,B,1_1_B,B. Family happiness and health,,,,,1
3,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,C,1_1_C,C. Contribution to society/community,,,,,1
4,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,D,1_1_D,D. Academic/career achievements,,,,,1
5,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,E,1_1_E,E. Economic income level,,,,,1
6,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,F,1_1_F,F. Social status and connections,,,,,1
7,1,Hopes,1,Success,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,TRUE,3,OTHER,1_1_OTHER,Other,,,,,1
8,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,A,1_2_A,A.  Found their passion and devoted themselves to it,"A. Supporting your child’s passions builds motivation and growth, while also helping them connect interests with real opportunities","Passion creates lasting motivation, but it needs guidance and support. Encourage exploration while also teaching financial and life skills so your child can connect their interests to a sustainable future.",,,1
9,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,B,1_2_B,B. Attended Ivy League school,"B. Prestigious schools can open doors, but true success also depends on your child’s interests, mental health, and balance in life.","Prestigious schools provide resources and opportunities, but they are not the only path to success. Encourage balance by supporting your child’s mental health, personal interests, and sense of identity alongside academics.",,,1
10,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,C,1_2_C,C. Prepared for a career in technology,"C. Tech careers offer stability and opportunity, but children also need communication, creativity, and teamwork skills to thrive.","The tech field has strong prospects, but competition is intense and rapidly changing. Help your child build not only technical skills but also creativity, communication, and adaptability to stay resilient.",,,1
11,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,D,1_2_D,D. Medical school or law school,"D. Medicine is respected and stable, but it’s a long, demanding path—make sure your child’s interest and well-being come first","Becoming a doctor is admirable but also a long, stressful journey. Make sure your child’s interest is genuine, and encourage hands-on experiences like volunteering or shadowing before committing fully.",,,1
12,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,E,1_2_E,"E. Took what they learned and created something new (art, business, invention)","E. The world your child enters will reward creators, solvers, and builders. What they learn matters — but what they do with it may matter even more.","Look for small ways your child can apply what they’re learning — even if it’s just organizing something, fixing a problem at home, or starting a mini project. It doesn’t have to be big to build confidence. What matters is seeing that their ideas can lead to action.",,,1
13,1,Hopes,1,Success,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",TRUE,2,OTHER,1_2_OTHER,Other,,,,,1
14,1,Hopes,1,Success,1_3,3,Does your child like school?,FALSE,1,A,1_3_A,A. Mostly yes,,,,,1
15,1,Hopes,1,Success,1_3,3,Does your child like school?,FALSE,1,B,1_3_B,B. Mostly no,,,,,1
16,1,Hopes,1,Success,1_4,4,Does your child like study? ,FALSE,1,A,1_4_A,A. Yes,,,,,1
